"questionId","grade","volume","chapter","type","difficulty","answer","acceptedAnswers","qaStatus","severity","issueCodes","issueDetails","recommendedAction"
"hjb-high-ds-v4-s4-001","S4","必修 第一册","集合与逻辑","multiple-choice","Core","13","13","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-002","S4","必修 第一册","集合与逻辑","fill-in","Challenge","6","6","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-003","S4","必修 第一册","集合与逻辑","short-answer","Foundation","12","12","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-004","S4","必修 第一册","集合与逻辑","multiple-choice","Exam","23","23","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-005","S4","必修 第一册","集合与逻辑","fill-in","Core","14","14","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-006","S4","必修 第一册","集合与逻辑","short-answer","Challenge","22","22","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-007","S4","必修 第一册","集合与逻辑","multiple-choice","Foundation","14","14","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-008","S4","必修 第一册","集合与逻辑","fill-in","Exam","6","6","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-009","S4","必修 第一册","集合与逻辑","short-answer","Core","8","8","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-010","S4","必修 第一册","集合与逻辑","multiple-choice","Challenge","12","12","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-011","S4","必修 第一册","集合与逻辑","fill-in","Foundation","4","4","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-012","S4","必修 第一册","集合与逻辑","short-answer","Exam","22","22","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-013","S4","必修 第一册","集合与逻辑","multiple-choice","Core","4","4","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-014","S4","必修 第一册","集合与逻辑","fill-in","Challenge","7","7","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-015","S4","必修 第一册","集合与逻辑","short-answer","Foundation","4","4","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-016","S4","必修 第一册","集合与逻辑","multiple-choice","Exam","18","18","pass","none","","","Include in S18 pass-sample review before app integration."
