"id","topicId","slot","reviewStatus","decision","candidatePath","srcAfterApproval","ragCardIds","altZhHans","captionZhHans","reviewerNotes"
"pep-primary-p1-upper-number-sense-concept","pep-primary-p1-upper-number-sense","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p1-upper-number-sense/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p1-upper-number-sense/concept.png","pep-primary-p1-upper-number-sense-within-20;pep-primary-p1-upper-shapes-position-clock","十格计数片和分组点子展示20以内数的数数、比较和分解组成。","小数目的学习要同时看整体、部分和数数路径。","Review 20以内数感：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p1-upper-number-sense-worked-example","pep-primary-p1-upper-number-sense","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p1-upper-number-sense/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p1-upper-number-sense/worked-example.png","pep-primary-p1-upper-number-sense-within-20;pep-primary-p1-upper-shapes-position-clock","凑十工作区把计数片移入完整十格，再把剩余计数片作为下一部分。","先凑成十，再加上剩余部分来检查答案。","Review 20以内数感：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
"pep-primary-p1-upper-shapes-position-time-concept","pep-primary-p1-upper-shapes-position-time","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p1-upper-shapes-position-time/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p1-upper-shapes-position-time/concept.png","pep-primary-p1-upper-number-sense-within-20;pep-primary-p1-upper-shapes-position-clock","简单图形、位置箭头和整时钟面帮助学生分类图形并表达位置。","先说出物体名称，再描述位置，并仔细观察钟面指针。","Review 图形、位置与整时：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p1-upper-shapes-position-time-worked-example","pep-primary-p1-upper-shapes-position-time","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p1-upper-shapes-position-time/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p1-upper-shapes-position-time/worked-example.png","pep-primary-p1-upper-number-sense-within-20;pep-primary-p1-upper-shapes-position-clock","分类垫把图形放在中心物体的上下左右，并加入整时钟面检查。","要把位置词和物体特征结合起来判断，而不能只看单一线索。","Review 图形、位置与整时：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
"pep-primary-p1-lower-within-100-add-sub-concept","pep-primary-p1-lower-within-100-add-sub","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p1-lower-within-100-add-sub/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p1-lower-within-100-add-sub/concept.png","pep-primary-p1-lower-within-100-add-sub","十根一捆和散放个位配合数线，把100以内位值与加减法联系起来。","先读十位和个位，再判断情境是在向前增加还是向后减少。","Review 100以内数与加减法：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p1-lower-within-100-add-sub-worked-example","pep-primary-p1-lower-within-100-add-sub","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p1-lower-within-100-add-sub/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p1-lower-within-100-add-sub/worked-example.png","pep-primary-p1-lower-within-100-add-sub","散放计数片重新组成一捆十，旁边用数线跳步检查答案。","重组的关键是十个一可以换成一个十。","Review 100以内数与加减法：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
"pep-primary-p1-lower-money-data-review-concept","pep-primary-p1-lower-money-data-review","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p1-lower-money-data-review/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p1-lower-money-data-review/concept.png","pep-primary-p1-lower-within-100-add-sub","玩具硬币、简单统计图和钟面把人民币、时间和数据表示成日常数量。","生活中的数学要先说清单位，再读懂表示方法。","Review 人民币、时间与数据：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p1-lower-money-data-review-worked-example","pep-primary-p1-lower-money-data-review","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p1-lower-money-data-review/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p1-lower-money-data-review/worked-example.png","pep-primary-p1-lower-within-100-add-sub","计数盘把玩具硬币分组，旁边配有钟面检查和原创图标统计图。","先分组看价值，再读时间，最后认真比较数据。","Review 人民币、时间与数据：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
"pep-primary-p2-upper-multiplication-arrays-concept","pep-primary-p2-upper-multiplication-arrays","concept","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p2-upper-multiplication-arrays/concept.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p2-upper-multiplication-arrays/concept.png","pep-primary-p2-upper-multiplication-facts","相同数量的小组转化为阵列，展示乘法的意义。","每组数量相同时，乘法模型才清楚可靠。","Review 表内乘法与阵列：把方法讲清楚 concept illustration for math correctness, source distance, and age fit."
"pep-primary-p2-upper-multiplication-arrays-worked-example","pep-primary-p2-upper-multiplication-arrays","worked-example","approved","approved","coordination/content-qa/mainland-pep-primary-illustrations-v1/candidates/pep-primary-p2-upper-multiplication-arrays/worked-example.png","/lesson-illustrations/mainland-pep-primary/pep-primary-p2-upper-multiplication-arrays/worked-example.png","pep-primary-p2-upper-multiplication-facts","阵列工作区逐行高亮，并用相同小组检查总数。","先数行数，再数每行个数，最后用相同小组检查。","Review 表内乘法与阵列：把方法讲清楚 worked-example illustration for math correctness, source distance, and age fit."
