questionId,status,qaStatus,reviewNotes,batchPhase,illustrationType,grade,volume,unitTitle,imagePath,promptZhHans,generationBriefZhHans,copyrightSafetyZhHans
hjb-junior-ds-v2-s1-202,queued,pending,,pilot,geometry-diagram,S1,七年级上册,图形的运动,candidates/hjb-junior-ds-v2-s1-202.png,一个三角形绕平面内一点旋转60°后，下列说法正确的是：,为沪教版初中数学题 hjb-junior-ds-v2-s1-202 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-203,queued,pending,,pilot,geometry-diagram,S1,七年级上册,图形的运动,candidates/hjb-junior-ds-v2-s1-203.png,线段AB沿某一方向平移后得到线段A'B'。如果AB=5 cm，那么A'B'=______ cm。,为沪教版初中数学题 hjb-junior-ds-v2-s1-203 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-205,queued,pending,,pilot,geometry-diagram,S1,七年级上册,图形的运动,candidates/hjb-junior-ds-v2-s1-205.png,下列图形中，一定是轴对称图形的是：,为沪教版初中数学题 hjb-junior-ds-v2-s1-205 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-207,queued,pending,,pilot,geometry-diagram,S1,七年级上册,图形的运动,candidates/hjb-junior-ds-v2-s1-207.png,一个正方形绕其中心旋转90°后，与自身重合。请再写出一个旋转角度（大于0°且小于360°），使得该正方形绕中心旋转后也能与自身重合。,为沪教版初中数学题 hjb-junior-ds-v2-s1-207 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-208,queued,pending,,pilot,geometry-diagram,S1,七年级上册,图形的运动,candidates/hjb-junior-ds-v2-s1-208.png,在识别图形运动方式时，下列生活现象中属于平移的是（ ）,为沪教版初中数学题 hjb-junior-ds-v2-s1-208 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-209,queued,pending,,pilot,geometry-diagram,S1,七年级上册,图形的运动,candidates/hjb-junior-ds-v2-s1-209.png,线段AB的长度为5 cm。将其沿某一方向平移3 cm后得到线段A'B'，则线段A'B'的长度为______ cm。,为沪教版初中数学题 hjb-junior-ds-v2-s1-209 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-212,queued,pending,,full,geometry-diagram,S1,七年级上册,图形的运动,candidates/hjb-junior-ds-v2-s1-212.png,已知线段AB的长度为5 cm。将线段AB绕点A逆时针旋转90°得到线段AB'。线段AB'的长度为______ cm。,为沪教版初中数学题 hjb-junior-ds-v2-s1-212 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-215,queued,pending,,full,geometry-diagram,S1,七年级上册,图形的运动,candidates/hjb-junior-ds-v2-s1-215.png,已知三角形ABC与三角形DEF关于直线l成轴对称。若点A与点D是对应点，点B与点E是对应点，且AB=6 cm，则DE=______ cm。,为沪教版初中数学题 hjb-junior-ds-v2-s1-215 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-218,queued,pending,,full,geometry-diagram,S1,七年级上册,图形的运动,candidates/hjb-junior-ds-v2-s1-218.png,"已知线段AB的两个端点坐标分别为A(2,3)和B(5,7)。将线段AB绕原点O逆时针旋转90°，得到线段A'B'。则点A'的坐标为______。",为沪教版初中数学题 hjb-junior-ds-v2-s1-218 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
hjb-junior-ds-v2-s1-220,queued,pending,,full,geometry-diagram,S1,七年级上册,图形的运动,candidates/hjb-junior-ds-v2-s1-220.png,"将点A(3,4)绕原点O顺时针旋转90°后，得到的点A'的坐标是（ ）。",为沪教版初中数学题 hjb-junior-ds-v2-s1-220 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。
