questionId,ordinal,promptFrame,grade,semester,type,difficulty,topicId,family,promptZhHans,answer,independentAnswer,deterministicAnswerStatus,optionCount,correctOptionHits,multipleChoiceStatus,sourceSafetyStatus,sourceSafetyHits,exactPromptDuplicateStatus,evidenceCardCount,examPatternCardCount
pep-primary-p1-u-mc-051,1,frame-1,P1,upper,multiple-choice,Foundation,pep-primary-p1-upper-shapes-position-time,geometry-position,小林摸到一个立体图形，它从各个方向都能滚动。这个图形最可能是什么？,球,球,pass,4,1,pass,pass,,pass,2,1
pep-primary-p1-u-mc-055,2,frame-2,P1,upper,multiple-choice,Foundation,pep-primary-p1-upper-shapes-position-time,geometry-position,美术柜摆着一个模型，特点是：相对的面形状相同，多数面是长方形。请选择它的名称。,长方体,长方体,pass,4,1,pass,pass,,pass,2,1
pep-primary-p1-u-mc-059,3,frame-3,P1,upper,multiple-choice,Foundation,pep-primary-p1-upper-shapes-position-time,geometry-position,观察一个积木：每个面都是正方形。这个积木属于哪种立体图形？,正方体,正方体,pass,4,1,pass,pass,,pass,2,1
pep-primary-p1-u-mc-001,4,frame-1,P1,upper,multiple-choice,Foundation,pep-primary-p1-upper-number-sense,number-sense,乐乐有14枚彩笔，已经用掉11枚，还剩多少枚？,3,3,pass,4,1,pass,pass,,pass,2,1
pep-primary-p1-u-mc-031,5,frame-2,P1,upper,multiple-choice,Foundation,pep-primary-p1-upper-number-sense,number-sense,运动场准备了9张数卡，先发给同学4张，还剩几张？,5,5,pass,4,1,pass,pass,,pass,2,1
pep-primary-p1-u-fi-091,6,frame-3,P1,upper,fill-in,Foundation,pep-primary-p1-upper-shapes-position-time,geometry-position,观察一个积木：相对的面形状相同，多数面是长方形。这个积木属于哪种立体图形？,长方体,长方体,pass,,,n/a,pass,,pass,2,1
pep-primary-p1-u-fi-095,7,frame-1,P1,upper,fill-in,Foundation,pep-primary-p1-upper-shapes-position-time,geometry-position,浩浩摸到一个立体图形，它每个面都是正方形。这个图形最可能是什么？,正方体,正方体,pass,,,n/a,pass,,pass,2,1
pep-primary-p1-u-fi-099,8,frame-2,P1,upper,fill-in,Foundation,pep-primary-p1-upper-shapes-position-time,geometry-position,图书角摆着一个模型，特点是：上下两个面都是圆形。请选择它的名称。,圆柱,圆柱,pass,,,n/a,pass,,pass,2,1
pep-primary-p1-u-fi-094,9,frame-3,P1,upper,fill-in,Foundation,pep-primary-p1-upper-shapes-position-time,geometry-position,观察一个积木：上下两个面都是圆形。这个积木属于哪种立体图形？,圆柱,圆柱,pass,,,n/a,pass,,pass,2,1
pep-primary-p1-l-fi-101,10,frame-1,P1,lower,fill-in,Foundation,pep-primary-p1-lower-within-100-add-sub,addition-subtraction,晨晨原来有66张积木，送出10张，现在有多少张？,56,56,pass,,,n/a,pass,,pass,1,1
